horse_id,sire,dam,bms
2021105444,ブリックスアンドモルタルBricks and Mortar(米),エルディアマンテ,キングカメハメハ
2021107058,アジアエクスプレス,メジェルダ,ディープインパクト
2021101598,タリスマニックTalismanic(英),ウインクルキラリ,ダンスインザダーク
2021110033,Iffraaj,レインスウェプトRainswept(英),Frankel
2021105175,スワーヴリチャード,パールズベスト,キングズベストKing's Best(米)
2021105312,キズナ,シックスイスSixes(亜),Luhuk
2021109114,エイシンフラッシュ,ドリームアドリーム,ディープインパクト
2021100653,エピファネイア,メリートーン,クロフネ
2021106395,レッドファルクス,ハッピーパーティー,クロフネ
2021105435,キタサンブラック,エセンテペ,Oratorio
2021105018,マインドユアビスケッツMind Your Biscuits(米),クードロア,Hard Spun(米)
2020104661,ドレフォンDrefong(米),スズカエルマンボ,シンボリクリスエス
2020102343,ミッキーアイル,ラブミーニキータ,クロフネ
2020105954,リオンディーズ,レッドティムール,シンボリクリスエス
2019105456,ドゥラメンテ,ミスセレンディピティ,Not For Sale
2020103193,サトノダイヤモンド,アガルタ,キングカメハメハ
2019100617,シニスターミニスターSinister Minister(米),ウィッシュハピネス,ゴールドアリュール
2020110052,Dark Angel,Royal Majestic,Tobougg(愛)
2019104913,ダイワメジャー,マジェスティッククオリティMajestic Quality(米),Quality Road
2020103123,エイシンフラッシュ,ロイヤルネックレス,シンボリクリスエス
2020100987,ジャスタウェイ,キーポケット,デヒアDehere(米)
2019104098,ハーツクライ,メイショウベルーガ,フレンチデピュティFrench Deputy(米)
2020106062,カレンブラックヒル,ゴッドカリビアン,ベーカバドBehkabad(仏)
2020103074,モーリス,メジャーフォルム,ダイワメジャー
2020101578,ヘニーヒューズHenny Hughes(米),ツインキャンドル,キングカメハメハ
2020101968,アジアエクスプレス,エーシンラクーン,ジャングルポケット
2019106593,ザファクター,ネオシルヴィア,ネオユニヴァース
2017101726,グランプリボス,タガノティアーズ,タニノギムレット
2019105241,サトノアラジン,シーカーマC Karma(米),Exchange Rate
2019103996,アメリカンペイトリオット,グッドイヴニング,コマンズCommands(豪)
2019104549,ダイワメジャー,サンヴァンサン,クロフネ
2018104333,ミッキーアイル,ティンクルチャーミ,スウェプトオーヴァーボードSwept Overboard(米)
2020106733,マジェスティックウォリアーMajestic Warrior(米),ファインチョイス,アドマイヤムーン
2020106795,ドレフォンDrefong(米),マレーナ,ダイワメジャー
2019102481,シニスターミニスターSinister Minister(米),アカカホール,ダイワメジャー
2019103421,マジェスティックウォリアーMajestic Warrior(米),トシキャンディ,バブルガムフェロー
2019103726,ミッキーアイル,フェールクークー,アラムシャーAlamshar(愛)
2019103027,Fort Larned,フラーティングアウェイFlirting Away(米),Distorted Humor(米)
2019106699,トランセンド,テアトロレアル,シンボリクリスエス
2019106575,ゼンノロブロイ,ヴィヴァシャスヴィヴィアンVivacious Vivian(米),Distorted Humor(米)
2019100631,シニスターミニスターSinister Minister(米),クライミングローズ,マンハッタンカフェ
2020100829,コパノリッキー,プリンシプルレディ,アグネスデジタル
2018106560,Distorted Humor(米),ラヴアンドフェイスLove and Faith(米),Corinthian(米)
2019110009,Ghostzapper,Orphea,Medaglia d'Oro
2019101975,ミッキーアイル,ナムラヒラリー,クロフネ
2012100683,マツリダゴッホ,コスモクラッベ,マイネルラヴ
2017110173,First Samurai,Kitten's Peak,Kitten's Joy(米)
2018101616,スクリーンヒーロー,ウインアキレア,コンデュイットConduit(愛)
2020110147,Race Day,Lee Ann W,Mr. Greeley
2018105187,ダイワメジャー,パーシステントリーPersistently(米),Smoke Glacken
2019104091,ゴールドシップ,メイショウスイヅキ,パイロPyro(米)
2020105206,ゴールドシップ,コスモマイルール,ルールオブローRule of Law(米)
2016105526,オルフェーヴル,メーヴェ,Motivator
2018105308,ハービンジャーHarbinger(英),モンローブロンド,アドマイヤベガ
2018105074,ルーラーシップ,シーオブラブ,ディープインパクト
2018103499,ゴールドシップ,シュヴァリエ,フレンチデピュティFrench Deputy(米)
2016104998,オルフェーヴル,クィーンスプマンテ,ジャングルポケット
2019101507,ドゥラメンテ,ラヴァリーノRavarino(米),Unbridled's Song(米)
2018105131,キズナ,ダークサファイア,Out of Place
2019101716,エピファネイア,ラヴィアンフルール,ステイゴールド
2019106410,キズナ,ザフラッツThe Flats(米),Giant's Causeway(米)
2017102537,ローズキングダム,エーシンシャイナー,グラスワンダー
2016104635,ディープインパクト,ミスパスカリ,Mr. Greeley
2020103043,ジャスタウェイ,ベガスナイト,コロナドズクエストCoronado's Quest(米)
2020103639,シルバーステート,ミスドバウィ,Dubawi
2019104730,イスラボニータ,コッパCoppa(米),Yesbyjimminy
2018104910,ドゥラメンテ,アルビアーノ,Harlan's Holiday
2020103661,ルーラーシップ,ライツェント,スペシャルウィーク
2018106318,ワールドエース,アドマイヤビアン,アドマイヤコジーン
2018100184,ロードカナロア,キストゥヘヴン,アドマイヤベガ
2020103277,ロードカナロア,エピックラヴEpic Love(愛),Dansili
2016105223,ロードカナロア,マイノチカラ,サンデーサイレンスSunday Silence(米)
2018105020,キングカメハメハ,グルヴェイグ,ディープインパクト
2019105252,モーリス,ジュベルアリ,ディープインパクト
2018103223,アイルハヴアナザーI'll Have Another(米),ダイワバーガンディ,ブライアンズタイムBrian's Time(米)
2019106670,エピファネイア,エナチャン,キンシャサノキセキ
2019104896,ディープインパクト,プレミアステップスPremier Steps(愛),Footstepsinthesand(英)
2018103929,ディープインパクト,マルケサMarquesa(米),Kingmambo(米)
2019100965,ダイワメジャー,パルテノン,キングカメハメハ
